customer_id,lat,lon,priority
C65,18.96823,73.078453,Medium
C66,19.004073,73.005178,High
C67,18.981996,73.045091,High
C68,18.973087,73.065225,Low
C69,18.951136,72.824417,Low
C70,19.107913,73.111917,Low
C71,19.23393,72.75619,High
C72,18.873054,72.702371,High
C73,19.098872,72.857314,Low
C74,19.374035,72.693416,High
C75,19.29354,73.144691,High
C76,18.962245,73.007435,Low
C77,19.293525,72.714464,Low
C78,18.909419,72.761184,Medium
C79,19.233461,73.041132,Medium
C80,18.919748,72.772687,Low
C81,19.072536,72.883895,Medium
C82,18.99526,73.047323,Medium
C83,18.945574,72.952046,Low
C84,19.079324,72.886107,Medium
C85,19.04848,72.812013,Low
C86,18.889552,73.068309,Medium
C87,18.891211,72.752802,Medium
C88,18.935459,73.052155,High
C89,19.187436,72.679562,Low
C90,19.215184,72.737446,Medium
C91,19.055263,72.861265,Medium
C92,19.172826,72.993961,Low
C93,18.886666,72.821004,Low
C94,19.216021,72.978769,High
C95,18.897104,72.811745,High
C96,19.091844,72.921224,Medium
C97,19.224239,72.995072,High
C98,18.879189,73.090577,Low
C99,18.833302,72.754051,High
C100,19.171875,72.660253,Low
C101,19.179668,72.706609,Low
C102,19.059346,72.883588,Medium
C103,19.238938,72.977274,Low
C104,19.224145,73.009605,Medium
C105,18.94014,73.071565,High
C106,19.199799,72.693614,High
C107,18.926004,73.029472,High
C108,18.998634,73.066557,Low
C109,19.073616,72.879928,Medium
C110,19.260963,72.678551,Medium
C111,19.09575,72.816744,Medium
C112,19.186349,72.740382,Low
C113,19.206716,72.680971,High
C114,19.099887,73.16255,Low
C115,18.923426,72.793676,Medium
C116,18.940997,73.051948,Medium
C117,19.202978,72.810272,Medium
C118,18.846983,72.786953,High
C119,18.970972,72.982801,Low
C120,18.915011,72.771472,High
C121,19.257321,73.029506,Low
C122,19.051524,72.707071,Medium
C123,19.122523,72.866912,High
C124,18.801669,72.545675,Medium
C125,19.178139,72.766442,High
C126,19.267398,73.02854,Low
C127,18.9071,72.740565,High
C128,19.210015,72.728067,Low
C129,19.22222,72.724969,Medium
C130,19.207497,72.706766,Low
C131,18.905727,72.992863,Medium
C132,19.06924,72.935922,High
C133,19.217293,72.771215,Low
C134,19.013585,73.048198,High
C135,18.964101,73.011561,Low
C136,18.919388,72.534806,High
C137,19.165582,72.741325,Low
C138,19.210699,72.73949,Medium
C139,19.212304,73.034856,Medium
C140,18.91168,73.060106,Medium
C141,19.213008,72.760333,High
C142,18.946884,73.047717,Low
C143,19.224273,72.973625,Low
C144,19.093246,72.725799,High
C145,18.933373,72.780317,Medium
C146,19.08241,72.884239,High
C147,19.193515,72.959486,High
C148,19.127845,72.856278,Medium
C149,18.895071,72.837369,High
C150,19.006495,72.579558,Low
C151,19.248842,73.028808,Medium
C152,19.263526,73.032258,Low
C153,19.081551,72.913756,Medium
C154,18.934147,72.939668,Medium
C155,19.146762,72.905835,High
C156,18.871452,72.675418,Low
C157,19.231459,73.008219,High
C158,19.068409,72.879152,Medium
C159,19.218091,72.845522,Low
C160,18.965894,72.99686,Low
C161,18.864473,72.608043,High
C162,18.961348,73.027465,High
C163,19.142531,73.104668,Medium
C164,19.19851,72.694576,Medium
C165,19.178555,72.753139,Medium
C166,19.1486,72.545805,High
C167,19.311171,72.930339,High
C168,19.196597,72.716358,High
C169,18.848634,72.890975,Medium
C170,18.853042,72.937431,Low
C171,19.404339,72.856707,Medium
C172,18.912812,72.756779,Low
C173,19.230745,72.702767,Medium
C174,18.920671,73.108937,Medium
C175,19.303449,72.528506,Low
C176,18.906866,72.803973,Medium
C177,18.906895,72.81397,Medium
C178,19.274325,72.793463,Low
C179,19.222848,72.745225,High
C180,18.905113,72.834546,High
C181,18.885602,72.763813,Low
C182,18.926307,73.055137,Medium
C183,19.087993,72.893089,Low
C184,19.241842,72.979507,Medium
C185,19.075768,72.879838,Low
C186,19.037377,72.856491,High
C187,19.194609,72.769123,Low
C188,19.013579,72.976077,High
C189,19.245067,72.97344,Medium
C190,19.21966,73.095686,Medium
C191,19.280676,72.984113,High
C192,18.950579,72.833141,Medium
C193,19.337933,72.835914,Low
C194,18.736743,72.628609,Low
C195,18.77838,73.074768,Medium
C196,19.181496,72.690312,Low
C197,18.992007,72.749363,Low
C198,19.067563,72.906411,Low
C199,19.005715,73.036896,Medium
C200,19.258259,73.020424,High
C201,18.963562,73.03245,High
C202,18.935647,73.047171,Medium
C203,19.231863,73.008363,Medium
C204,19.186317,72.998282,High
C205,18.912948,73.048878,Medium
C206,19.200328,72.638283,Medium
C207,19.417356,72.737108,Medium
C208,19.227272,72.721182,Medium
C209,18.800657,72.794655,Medium
C210,19.011944,73.045461,Medium
C211,19.110453,72.838654,High
C212,19.247621,73.110687,Medium
C213,18.887083,73.089052,High
C214,19.075802,72.928058,Low
C215,19.181082,72.95091,Low
C216,19.243958,72.743648,High
C217,18.941587,73.065248,High
C218,19.096432,72.85764,Low
C219,19.307331,72.707579,Medium
C220,18.932599,73.136978,High
C221,18.945551,72.83818,Low
C222,19.41196,73.204789,Low
C223,19.253065,72.74095,Medium
C224,18.907913,73.00944,Medium
C225,19.184961,73.005135,Low
C226,19.07794,72.888367,Medium
C227,18.937533,72.813507,High
C228,18.884293,72.810628,High
C229,19.097711,72.902534,Low
C230,19.213539,72.905835,Low
C231,18.834166,72.818119,High
C232,19.156957,73.185037,Medium
C233,18.962645,73.069554,High
C234,18.795548,73.007676,Low
C235,19.177379,72.570085,Medium
C236,18.949092,72.760084,High
C237,19.085507,72.875954,Medium
C238,19.230682,72.977914,Low
C239,19.234432,72.977541,High
C240,19.143187,72.721792,High
C241,19.104151,73.08666,High
C242,18.915108,72.798515,High
C243,18.90051,72.786449,Low
C244,18.895071,72.743593,Medium
C245,18.875726,72.784006,Low
C246,19.062269,72.918532,High
C247,19.234151,72.711804,High
C248,19.227024,72.743186,Low
C249,19.21935,73.039658,Low
C250,18.992633,72.945874,Medium
C251,19.027787,72.900314,High
C252,19.181642,73.065974,Low
C253,19.027049,73.149364,Medium
C254,19.176975,72.766532,Medium
C255,18.943844,73.049963,Medium
C256,18.907266,72.785175,Low
C257,19.188607,72.983873,Low
C258,18.844316,72.810132,Medium
C259,19.230742,73.205579,Low
C260,18.877688,72.767942,Low
C261,18.873499,72.808623,High
C262,19.12787,73.092755,Low
C263,19.298899,72.957201,Low
C264,19.126916,72.853382,Medium
C265,18.948447,73.013038,Medium
C266,19.252522,72.969408,Medium
C267,18.926927,72.79781,Medium
C268,18.970247,73.059362,Medium
C269,19.123315,72.58717,High
C270,19.087777,72.881507,Medium
C271,19.191736,72.718366,High
C272,18.805672,72.82864,Medium
C273,19.031659,72.881433,High
C274,19.095099,72.884546,High
C275,19.260913,72.730313,High
C276,19.229208,72.763904,Low
C277,19.10318,72.830637,High
C278,18.865346,72.790687,High
C279,19.129031,72.92908,Low
C280,18.960616,73.041778,Medium
C281,19.031545,72.889085,Medium
C282,18.897679,72.817664,Low
C283,18.95544,73.016474,High
C284,18.876666,72.773936,Medium
C285,19.227455,73.01452,High
C286,19.228809,72.953992,High
C287,19.165564,72.852467,Low
C288,19.040234,73.174608,Low
C289,19.040566,72.949223,Medium
C290,18.854422,72.785924,Medium
C291,18.930163,73.036508,Medium
C292,18.961887,73.027257,High
C293,19.046431,72.90394,Low
C294,19.040814,73.094571,Low
C295,19.059044,72.880317,High
C296,18.968516,73.036309,Low
C297,19.201774,72.908878,Low
C298,19.181985,73.048328,Medium
C299,18.951749,73.028826,Low
C300,18.877598,72.811328,Medium
C301,19.094896,72.858391,Low
C302,18.939806,73.078429,Low
C303,19.072771,72.865497,Low
C304,18.973275,72.996496,Low
C305,19.364714,72.593117,Low
C306,18.981618,73.040647,High
C307,19.265375,72.867148,High
C308,18.858669,72.775895,Low
C309,18.752423,72.763435,Low
C310,19.226724,72.753322,Low
C311,19.292331,72.643577,Medium
C312,18.946138,73.017929,Medium
C313,19.218226,72.75977,Medium
C314,18.861811,73.002515,Low
C315,19.049176,72.72494,Medium
C316,19.270042,72.726071,Low
C317,18.988509,73.048757,Medium
C318,18.887322,72.742621,High
C319,19.216704,73.06217,High
C320,18.790199,73.165053,Medium
C321,19.37733,72.818128,Medium
C322,19.216655,73.005818,High
C323,18.919101,72.740879,High
C324,18.98546,73.020871,High
C325,19.054377,72.958444,High
C326,19.245259,72.965117,Low
C327,19.234938,72.753606,Medium
C328,19.179305,73.023438,Medium
C329,19.211517,72.734581,Low
C330,19.22557,72.999323,Medium
C331,19.233102,72.778851,Low
C332,18.773376,72.895942,Low
C333,19.081336,72.541934,Medium
C334,19.238785,72.734973,High
C335,18.868649,72.818054,Low
C336,19.073493,72.850842,High
C337,18.963232,73.020549,Low
C338,19.178922,72.697342,High
C339,19.386524,72.553589,High
C340,19.245683,72.98052,Medium
C341,19.067919,72.879063,Low
C342,18.962082,73.030546,Low
C343,18.90581,72.747079,Medium
C344,19.352246,72.798351,High
C345,19.179966,72.777378,Medium
C346,19.234957,72.582949,Low
C347,18.85232,72.733336,High
C348,18.941834,73.075916,Medium
C349,19.210743,72.74479,Medium
C350,19.203102,72.820632,High
C351,19.180776,72.778519,Low
C352,18.921599,72.809769,Medium
C353,18.899795,72.820718,Medium
C354,19.092958,72.881199,Medium
C355,18.986409,73.061859,Low
C356,18.921171,73.063668,High
C357,18.744139,72.657934,Low
C358,19.114266,72.912634,Low
C359,19.061181,72.942886,Medium
C360,19.245811,72.971426,Low
C361,18.925154,72.704754,Medium
C362,18.872368,72.770022,Medium
C363,19.224266,73.176827,Low
C364,18.940762,73.036861,High
C365,18.891715,72.873515,Medium
C366,18.872143,73.055118,High
C367,18.923689,72.789837,Low
C368,19.093987,73.066115,Low
C369,18.935464,73.012121,Low
C370,19.26361,72.961464,Low
C371,19.165878,73.024792,High
C372,19.088671,72.740587,High
C373,19.185514,73.056457,Medium
C374,18.901424,72.97224,Low
C375,18.946002,73.028949,Low
C376,19.10091,72.913958,Low
C377,18.962334,73.174451,High
C378,18.745861,72.559523,Low
C379,18.911259,72.675266,Low
C380,18.853862,72.778219,Medium
C381,18.902092,73.043499,Low
C382,19.225456,72.742368,Medium
C383,19.227675,72.776984,Medium
C384,18.949521,73.219316,Medium
C385,18.817536,72.787078,Low
C386,19.202854,73.002649,High
C387,18.888616,72.806301,Low
C388,19.253145,72.933288,Low
C389,19.189926,72.998093,Medium
C390,19.074159,72.590734,Medium
C391,19.232081,73.025022,High
C392,19.108309,72.848241,Medium
C393,18.914263,72.7516,Medium
C394,19.2607,72.783856,Medium
C395,19.088977,72.913503,High
C396,19.218196,72.713497,Low
C397,18.905343,72.787484,Medium
C398,18.96336,73.184964,High
C399,19.068999,72.882694,High
C400,18.968078,73.003454,High
